best_bid,best_ask,mid_price,spread,total_bid_size,total_ask_size,depth_bid,depth_ask,volume,n_trades,time
121.49000000000001,,,,4914,0,1899,0,181,110,2700.0999999986398
121.68,,,,4980,0,1925,0,176,98,2730.0999999986125
122.14,,,,5066,0,1959,0,165,92,2760.099999998585
122.31,,,,5115,0,1978,0,196,121,2790.099999998558
122.92,,,,5191,0,2017,0,180,105,2820.0999999985306
123.84,,,,5232,0,2031,0,161,97,2850.0999999985033
124.10000000000001,,,,5307,0,2060,0,131,82,2880.099999998476
124.55,,,,5361,0,2086,0,189,113,2910.0999999984488
124.91,,,,5388,0,2105,0,170,105,2940.0999999984215
125.06,,,,5424,0,2121,0,165,103,2970.099999998394
125.78,,,,5469,0,2142,0,188,107,3000.099999998367
127.37,,,,5511,0,2157,0,167,100,3030.0999999983396
127.36,,,,5480,0,2138,0,235,150,3060.0999999983123
127.57000000000001,,,,5410,0,2119,0,244,132,3090.099999998285
127.83,,,,5469,0,2137,0,168,107,3120.0999999982578
127.88000000000001,,,,5497,0,2141,0,196,121,3150.0999999982305
127.97,,,,5508,0,2146,0,197,125,3180.099999998203
128.22,,,,5559,0,2166,0,166,101,3210.099999998176
128.76,,,,5618,0,2189,0,155,101,3240.0999999981486
128.82,,,,5668,0,2211,0,179,107,3270.0999999981213
128.8,,,,5683,0,2215,0,198,128,3300.099999998094
129.03,,,,5732,0,2235,0,189,112,3330.099999998067
132.09,,,,5826,0,2265,0,143,87,3360.0999999980395
132.2,,,,5790,0,2260,0,214,132,3390.099999998012
132.37,,,,5806,0,2268,0,169,108,3420.099999997985
132.61,,,,5841,0,2292,0,184,111,3450.0999999979576
132.81,,,,5899,0,2316,0,169,100,3480.0999999979304
133.04,,,,5940,0,2330,0,165,104,3510.099999997903
133.99,,,,6112,0,2401,0,119,72,3540.099999997876
134.57,,,,6212,0,2436,0,147,88,3570.0999999978485
