side,price,size
OrderSide.BUY,132.67000000000002,1
OrderSide.BUY,132.67000000000002,2
OrderSide.BUY,132.66,1
OrderSide.BUY,132.65,1
OrderSide.BUY,132.65,3
OrderSide.BUY,132.63,3
OrderSide.BUY,132.62,2
OrderSide.BUY,132.62,2
OrderSide.BUY,132.61,6
OrderSide.BUY,132.6,3
OrderSide.BUY,132.59,2
OrderSide.BUY,132.59,1
OrderSide.BUY,132.57,2
OrderSide.BUY,132.56,2
OrderSide.BUY,132.56,2
OrderSide.BUY,132.54,3
OrderSide.BUY,132.53,1
OrderSide.BUY,132.53,2
OrderSide.BUY,132.52,1
OrderSide.BUY,132.52,2
OrderSide.BUY,132.51,1
OrderSide.BUY,132.5,2
OrderSide.BUY,132.5,2
OrderSide.BUY,132.5,2
OrderSide.BUY,132.5,1
OrderSide.BUY,132.49,3
OrderSide.BUY,132.48,2
OrderSide.BUY,132.48,1
OrderSide.BUY,132.44,2
OrderSide.BUY,132.44,5
OrderSide.BUY,132.44,2
OrderSide.BUY,132.42000000000002,1
OrderSide.BUY,132.42000000000002,1
OrderSide.BUY,132.41,1
OrderSide.BUY,132.4,2
OrderSide.BUY,132.4,1
OrderSide.BUY,132.39000000000001,1
OrderSide.BUY,132.38,1
OrderSide.BUY,132.38,1
OrderSide.BUY,132.38,2
OrderSide.BUY,132.37,1
OrderSide.BUY,132.37,1
OrderSide.BUY,132.37,2
OrderSide.BUY,132.37,3
OrderSide.BUY,132.36,3
OrderSide.BUY,132.36,2
OrderSide.BUY,132.36,1
OrderSide.BUY,132.36,5
OrderSide.BUY,132.35,2
OrderSide.BUY,132.35,7
OrderSide.BUY,132.34,2
OrderSide.BUY,132.33,3
OrderSide.BUY,132.33,4
OrderSide.BUY,132.29,4
OrderSide.BUY,132.29,2
OrderSide.BUY,132.28,2
OrderSide.BUY,132.27,2
OrderSide.BUY,132.27,5
OrderSide.BUY,132.27,1
OrderSide.BUY,132.27,3
OrderSide.BUY,132.26,1
OrderSide.BUY,132.26,1
OrderSide.BUY,132.25,2
OrderSide.BUY,132.25,1
OrderSide.BUY,132.24,1
OrderSide.BUY,132.23,2
OrderSide.BUY,132.22,3
OrderSide.BUY,132.22,2
OrderSide.BUY,132.22,2
OrderSide.BUY,132.2,3
OrderSide.BUY,132.19,4
OrderSide.BUY,132.19,1
OrderSide.BUY,132.19,3
OrderSide.BUY,132.19,2
OrderSide.BUY,132.19,1
OrderSide.BUY,132.19,2
OrderSide.BUY,132.19,2
OrderSide.BUY,132.18,1
OrderSide.BUY,132.18,2
